Number_of_children,Years_of_service,Position,loan_eligibility
2,5,HR,1
0,10,Manager,1
1,3,CTO,0
3,8,Developer,1
2,6,HR,0
1,4,Manager,1
0,2,Developer,0
3,7,CTO,1
1,9,Manager,1
0,4,HR,0
1,6,Developer,1
2,3,Manager,0
0,8,CTO,0
1,5,Developer,1
3,2,HR,1
0,7,Manager,1
2,1,CTO,0
1,6,Developer,0
0,3,HR,1
1,2,Manager,0
2,9,CTO,0
1,4,Developer,1
0,7,HR,1
1,5,Manager,1
3,2,Developer,0
0,9,CTO,1
1,3,HR,0
2,8,Manager,0
0,6,Developer,1
1,1,CTO,1
3,7,HR,0
2,5,Manager,1
0,4,Developer,0
1,2,CTO,0
2,9,HR,0
1,6,Manager,1
0,3,Developer,1
2,1,CTO,0
0,7,HR,1
1,5,Manager,0
3,2,Developer,1
0,9,CTO,1
1,3,HR,1
2,8,Manager,0
0,6,Developer,0
1,1,CTO,0
3,7,HR,0
2,5,Manager,1
0,4,Developer,0
2,5,HR,1
0,10,Manager,1
1,3,CTO,0
3,8,Developer,1
2,6,HR,0  
1,4,Manager,1
0,2,Developer,0
3,7,CTO,1
1,9,Manager,1
0,4,HR,0
1,6,Developer,1
2,3,Manager,0
2,7,CTO,1
3,4,Developer,0
1,5,Manager,1
0,2,HR,0
3,9,Developer,1  
1,3,Manager,0
2,1,HR,0
0,8,CTO,1
2,10,Developer,1
1,7,Manager,1
3,5,HR,1
0,3,CTO,0
1,2,Developer,0
2,6,Manager,0
3,9,HR,1
1,4,CTO,1
2,1,Developer,0
0,7,Manager,1
3,10,HR,1
1,8,CTO,1 
0,2,Developer,0
2,5,Manager,0
1,6,HR,0
3,3,CTO,0
2,4,Developer,0
0,9,Manager,1
2,7,HR,1
1,2,CTO,0
3,1,Developer,0
0,8,Manager,1
1,5,HR,1
2,10,CTO,1
3,6,Developer,1
0,4,Manager,1
1,9,HR,1
2,3,CTO,0  
3,8,Developer,1 
0,2,Manager,0
1,7,HR,0
2,1,CTO,0
0,6,Developer,0
3,4,Manager,1
1,10,HR,1 
2,5,CTO,1
0,3,Developer,0
3,9,Manager,1
1,8,HR,1
2,2,CTO,0
0,7,Developer,1
3,6,Manager,1
1,4,HR,1
2,10,CTO,1
0,1,Developer,0 
3,8,Manager,1
1,5,HR,1  
2,3,CTO,0
0,9,Developer,1
2,7,Manager,0 
3,6,HR,0
1,4,CTO,0
0,2,Developer,0
1,10,Manager,1
2,8,HR,1
3,1,CTO,0
1,5,Developer,1
0,6,Manager,1
2,3,HR,0
3,7,CTO,1 
1,2,Developer,0
0,9,Manager,1
2,10,HR,1
3,4,CTO,1
1,8,Developer,1
0,5,Manager,1
2,6,HR,1 
3,2,CTO,0
1,7,Developer,1
0,10,Manager,1
2,4,HR,1
3,9,CTO,1
1,3,Developer,0
0,8,Manager,1
2,5,HR,1
3,1,CTO,0
1,6,Developer,1
0,2,Manager,0  
2,7,HR,1
3,8,CTO,1
1,10,Developer,1
0,9,Manager,1
2,3,HR,1
3,4,CTO,1
1,5,Developer,1
0,6,Manager,1
2,2,HR,0
3,7,CTO,1
1,1,Developer,0
0,10,Manager,1
2,8,HR,1
3,3,CTO,1
1,9,Developer,1
0,5,Manager,1  
2,7,HR,1
3,2,CTO,0
1,6,Developer,1
0,4,Manager,1
2,9,HR,1
3,10,CTO,1
1,8,Developer,1
0,3,Manager,0
2,1,HR,0
3,5,CTO,1
1,7,Developer,1 
0,9,Manager,1
2,6,HR,1
3,4,CTO,1  
1,10,Developer,1
0,2,Manager,0
2,8,HR,1
3,3,CTO,1
1,5,Developer,1
0,7,Manager,1
2,2,HR,0
3,1,CTO,0
1,9,Developer,1
0,10,Manager,1
2,7,HR,1
3,6,CTO,1
1,4,Developer,1 
0,5,Manager,1
2,3,HR,1
3,8,CTO,1  
1,2,Developer,0
0,9,Manager,1
2,5,HR,1
3,7,CTO,1
1,10,Developer,1
0,1,Manager,0
2,4,HR,0
3,3,CTO,0
1,8,Developer,1
0,6,Manager,1
2,10,HR,1
3,2,CTO,1
1,9,Developer,1
0,7,Manager,1   
2,1,HR,0
3,6,CTO,1
1,5,Developer,1
0,8,Manager,1
2,7,HR,1
3,4,CTO,1
1,3,Developer,0
0,2,Manager,0
2,10,HR,1
3,8,CTO,1
1,6,Developer,1  
0,9,Manager,1
2,2,HR,0
3,5,CTO,1
1,4,Developer,1
0,1,Manager,0
2,9,HR,1
3,7,CTO,1
1,8,Developer,1
0,10,Manager,1 
2,3,HR,1
3,2,CTO,0
1,7,Developer,1
0,6,Manager,1
2,5,HR,1
3,1,CTO,0
1,10,Developer,1
0,4,Manager,1
2,8,HR,1
3,9,CTO,1
1,6,Developer,1   
0,2,Manager,0
2,7,HR,1
3,10,CTO,1
1,5,Developer,1
0,3,Manager,0
2,1,HR,0
3,8,CTO,1
1,9,Developer,1
0,6,Manager,1
2,4,HR,1
3,7,CTO,1  
1,3,Developer,0
0,5,Manager,1
2,9,HR,1
3,2,CTO,0
1,10,Developer,1
0,8,Manager,1
2,6,HR,1
3,1,CTO,0
1,8,Developer,1
0,7,Manager,1
2,3,HR,1
3,10,CTO,1
1,5,Developer,1  
0,9,Manager,1
2,2,HR,0
3,4,CTO,1
1,7,Developer,1
0,1,Manager,0
2,8,HR,1
3,6,CTO,1
1,4,Developer,1
0,10,Manager,1
2,5,HR,1
3,3,CTO,0
1,9,Developer,1
0,2,Manager,0
2,7,HR,1  
3,1,CTO,0
1,10,Developer,1
0,4,Manager,1
2,6,HR,1
3,8,CTO,1
1,5,Developer,1
0,3,Manager,0 
2,10,HR,1
3,2,CTO,1
1,8,Developer,1
0,9,Manager,1
2,4,HR,1
3,7,CTO,1
1,3,Developer,0
0,1,Manager,0
2,8,HR,1
3,5,CTO,1
1,9,Developer,1   
0,6,Manager,1
2,1,HR,0 
3,10,CTO,1
1,7,Developer,1
0,2,Manager,0
3,4,HR,1
1,8,CTO,1
0,5,Developer,1
2,6,Manager,1
3,3,HR,1
1,9,CTO,1
0,1,Developer,0
2,7,Manager,1
3,2,HR,0  
1,10,CTO,1
0,4,Developer,1 
2,8,Manager,1
3,1,HR,0
1,5,CTO,1 
0,6,Developer,1
2,9,Manager,1
3,10,HR,1
1,3,CTO,0
0,7,Developer,1
2,2,Manager,0
3,8,HR,1   
1,9,CTO,1
0,3,Developer,0  
2,5,Manager,1
3,7,HR,1
1,4,CTO,1
0,1,Developer,0 
2,6,Manager,0
3,6,HR,0
1,10,CTO,1
0,2,Developer,0
2,9,Manager,1
3,5,HR,1
1,8,CTO,1
0,7,Developer,1  
2,3,Manager,1
3,4,HR,1
1,7,CTO,1
0,10,Developer,1
2,1,Manager,0
3,1,HR,0
1,9,CTO,1
0,8,Developer,1 
2,5,Manager,1
3,3,HR,1
1,6,CTO,1
0,9,Developer,1
2,2,HR,0
3,7,CTO,1
1,5,Developer,1
0,4,Manager,1
2,10,HR,1  
3,2,CTO,1
1,3,Developer,0
0,6,Manager,1
2,8,HR,1
3,1,CTO,0
1,9,Developer,1
0,5,Manager,1
2,7,HR,1
3,10,CTO,1
1,4,Developer,1  
0,2,Manager,0 
2,6,HR,0
3,8,CTO,1
1,7,Developer,1
0,3,Manager,0
2,5,HR,1
3,6,CTO,1
1,10,Developer,1
0,9,Manager,1
2,4,HR,1
3,2,CTO,1
1,8,Developer,1
0,1,Manager,0  
2,3,HR,1
3,1,CTO,0
1,9,Developer,1
0,7,Manager,1 
2,10,HR,1
3,5,CTO,1 
1,6,Developer,1
0,8,Manager,1
2,2,HR,0
3,4,CTO,1
